Date,Price,Open,High,Low,Vol.,Change %
9/20/2024,"2,149.29","2,150.87","2,151.92","2,131.53",,-0.25%
9/19/2024,"2,154.72","2,158.82","2,163.20","2,153.69",,-0.45%
9/18/2024,"2,164.49","2,161.21","2,166.25","2,157.84",,0.17%
9/17/2024,"2,160.86","2,166.71","2,167.42","2,158.96",,-0.43%
9/16/2024,"2,170.18","2,171.15","2,172.35","2,164.75",,0.01%
9/13/2024,"2,170.02","2,170.98","2,176.00","2,165.15",,0.14%
9/12/2024,"2,167.04","2,162.01","2,169.01","2,161.91",,0.22%
9/11/2024,"2,162.25","2,169.23","2,171.79","2,162.74",,-0.31%
9/10/2024,"2,168.94","2,171.06","2,173.65","2,167.00",,-0.13%
9/9/2024,"2,171.71","2,161.80","2,178.43","2,160.57",,0.24%
9/6/2024,"2,166.43","2,172.51","2,172.89","2,165.15",,-0.17%
9/5/2024,"2,170.11","2,179.19","2,180.21","2,168.05",,-0.22%
9/4/2024,"2,174.89","2,182.56","2,184.67","2,174.17",,-0.20%
9/3/2024,"2,179.22","2,180.58","2,188.19","2,178.89",,-0.05%
9/2/2024,"2,180.39","2,177.65","2,188.63","2,175.07",,0.08%
8/30/2024,"2,178.66","2,173.73","2,183.67","2,170.70",,0.35%
8/29/2024,"2,171.03","2,163.73","2,173.70","2,159.55",,0.34%
8/28/2024,"2,163.69","2,175.06","2,179.13","2,162.74",,-0.47%
8/27/2024,"2,174.00","2,165.52","2,181.67","2,164.78",,0.39%
8/26/2024,"2,165.61","2,177.22","2,177.43","2,148.28",,-0.35%
8/23/2024,"2,173.18","2,183.60","2,192.69","2,161.56",,-0.43%
8/22/2024,"2,182.49","2,171.00","2,193.11","2,169.95",,0.59%
8/21/2024,"2,169.59","2,164.05","2,173.87","2,162.18",,0.30%
8/20/2024,"2,163.03","2,179.79","2,180.36","2,158.51",,-0.64%
8/19/2024,"2,176.99","2,194.62","2,195.60","2,175.74",,-0.55%
8/16/2024,"2,188.96","2,186.52","2,196.06","2,184.64",,0.11%
8/15/2024,"2,186.45","2,189.33","2,196.80","2,179.98",,-0.42%
8/14/2024,"2,195.62","2,215.18","2,215.37","2,191.48",,-0.75%
8/13/2024,"2,212.13","2,222.24","2,224.73","2,205.72",,-0.48%
8/12/2024,"2,222.81","2,220.02","2,226.34","2,219.23",,0.09%
8/9/2024,"2,220.80","2,214.42","2,222.76","2,213.36",,0.31%
8/8/2024,"2,213.83","2,234.00","2,235.69","2,214.91",,-0.87%
8/7/2024,"2,233.27","2,254.10","2,255.08","2,230.41",,-1.08%
8/6/2024,"2,257.74","2,259.99","2,266.89","2,258.61",,-0.50%
8/5/2024,"2,269.09","2,265.53","2,274.45","2,254.92",,0.33%
8/2/2024,"2,261.68","2,241.02","2,263.53","2,240.34",,0.95%
8/1/2024,"2,240.29","2,254.44","2,255.23","2,239.75",,-0.49%
7/31/2024,"2,251.32","2,254.79","2,256.53","2,249.46",,0.18%
7/30/2024,"2,247.21","2,241.39","2,249.99","2,240.90",,0.25%
7/29/2024,"2,241.58","2,246.00","2,246.52","2,242.20",,-0.18%
7/26/2024,"2,245.62","2,244.17","2,254.12","2,244.17",,-0.03%
7/25/2024,"2,246.24","2,232.96","2,253.53","2,232.40",,0.65%
7/24/2024,"2,231.80","2,228.02","2,232.66","2,227.90",,0.19%
7/23/2024,"2,227.52","2,230.18","2,230.34","2,225.09",,-0.08%
7/22/2024,"2,229.23","2,225.86","2,232.86","2,225.83",,0.13%
7/19/2024,"2,226.33","2,223.34","2,232.97","2,223.00",,0.09%
7/18/2024,"2,224.24","2,218.56","2,228.61","2,218.07",,0.36%
7/17/2024,"2,216.33","2,225.89","2,226.78","2,215.68",,-0.40%
7/16/2024,"2,225.33","2,225.91","2,237.00","2,225.64",,-0.05%
7/15/2024,"2,226.43","2,222.35","2,229.03","2,221.06",,0.05%
7/12/2024,"2,225.27","2,230.45","2,230.48","2,221.10",,-0.24%
7/11/2024,"2,230.58","2,232.38","2,233.84","2,225.11",,-0.03%
7/10/2024,"2,231.25","2,233.71","2,240.41","2,231.79",,-0.11%
7/9/2024,"2,233.73","2,235.59","2,243.49","2,234.43",,-0.08%
7/8/2024,"2,235.52","2,240.00","2,240.36","2,235.03",,-0.16%
7/5/2024,"2,239.05","2,247.44","2,248.78","2,238.59",,-0.29%
7/4/2024,"2,245.65","2,251.56","2,252.06","2,244.63",,-0.23%
7/3/2024,"2,250.85","2,254.29","2,255.04","2,249.94",,-0.14%
7/2/2024,"2,254.04","2,245.10","2,255.80","2,244.85",,0.39%
7/1/2024,"2,245.34","2,253.24","2,258.35","2,244.75",,-0.32%
6/28/2024,"2,252.56","2,256.26","2,259.82","2,253.07",,-0.13%
6/27/2024,"2,255.50","2,257.39","2,260.84","2,255.26",,-0.06%
6/26/2024,"2,256.87","2,253.99","2,264.04","2,253.75",,0.13%
6/25/2024,"2,253.89","2,257.93","2,267.01","2,252.56",,-0.17%
6/24/2024,"2,257.64","2,265.51","2,268.90","2,257.55",,-0.32%
6/21/2024,"2,264.84","2,263.05","2,270.16","2,262.92",,0.11%
6/20/2024,"2,262.24","2,254.40","2,263.07","2,253.49",,0.35%
6/19/2024,"2,254.38","2,260.41","2,261.36","2,252.68",,-0.25%
6/18/2024,"2,259.95","2,260.42","2,260.75","2,260.08",,0.02%
6/17/2024,"2,259.45","2,260.59","2,260.89","2,260.14",,-0.01%
6/14/2024,"2,259.57","2,242.79","2,262.75","2,242.64",,0.76%
6/13/2024,"2,242.58","2,248.04","2,248.04","2,242.70",,-0.31%
6/12/2024,"2,249.53","2,245.95","2,250.85","2,245.48",,0.21%
6/11/2024,"2,244.81","2,244.95","2,247.74","2,244.32",,-0.03%
6/10/2024,"2,245.45","2,244.15","2,248.35","2,241.73",,0.53%
6/7/2024,"2,233.72","2,244.39","2,244.39","2,234.42",,-0.43%
6/6/2024,"2,243.46","2,247.54","2,248.55","2,243.34",,-0.12%
6/5/2024,"2,246.20","2,239.59","2,248.84","2,238.74",,0.30%
6/4/2024,"2,239.58","2,241.01","2,241.45","2,234.56",,-0.03%
6/3/2024,"2,240.25","2,243.33","2,245.21","2,236.64",,-0.13%
5/31/2024,"2,243.16","2,247.63","2,248.20","2,242.74",,-0.18%
5/30/2024,"2,247.21","2,229.27","2,248.15","2,229.20",,0.84%
5/29/2024,"2,228.43","2,220.00","2,230.69","2,219.80",,0.37%
5/28/2024,"2,220.12","2,217.34","2,221.88","2,217.30",,0.15%
5/27/2024,"2,216.70","2,208.07","2,218.56","2,207.61",,0.42%
5/24/2024,"2,207.50","2,207.58","2,208.24","2,207.22",,-0.02%
5/23/2024,"2,207.89","2,208.08","2,209.17","2,207.28",,-0.01%
5/22/2024,"2,208.08","2,209.46","2,211.50","2,205.79",,-0.05%
5/21/2024,"2,209.11","2,206.63","2,215.55","2,206.15",,0.09%
5/20/2024,"2,207.08","2,206.96","2,211.15","2,206.85",,-0.02%
5/17/2024,"2,207.55","2,203.93","2,212.85","2,203.74",,0.12%
5/16/2024,"2,204.96","2,223.08","2,223.63","2,205.41",,-0.66%
5/15/2024,"2,219.53","2,225.81","2,226.98","2,218.45",,-0.21%
5/14/2024,"2,224.13","2,222.39","2,230.21","2,221.76",,0.08%
5/13/2024,"2,222.42","2,218.92","2,224.89","2,217.97",,0.14%
5/10/2024,"2,219.30","2,221.00","2,221.39","2,220.21",,-0.06%
5/9/2024,"2,220.68","2,220.69","2,222.03","2,220.19",,0.04%
5/8/2024,"2,219.79","2,221.66","2,228.02","2,219.76",,-0.09%
5/7/2024,"2,221.85","2,220.53","2,226.59","2,220.18",,0.00%
5/6/2024,"2,221.94","2,231.13","2,231.82","2,215.95",,0.07%
5/3/2024,"2,220.35","2,219.97","2,224.46","2,219.62",,-0.62%
5/2/2024,"2,234.16","2,244.14","2,244.14","2,235.16",,-0.19%
5/1/2024,"2,238.48","2,248.14","2,248.35","2,232.73",,-0.27%
4/30/2024,"2,244.51","2,245.60","2,247.83","2,244.83",,-0.10%
4/29/2024,"2,246.77","2,237.18","2,247.76","2,236.99",,0.47%
4/26/2024,"2,236.25","2,234.76","2,239.73","2,234.10",,0.04%
4/25/2024,"2,235.34","2,229.57","2,238.90","2,229.46",,0.29%
4/24/2024,"2,228.79","2,239.02","2,239.28","2,228.18",,-0.41%
4/23/2024,"2,237.88","2,241.00","2,243.36","2,238.10",,-0.12%
4/22/2024,"2,240.47","2,244.95","2,244.95","2,237.75",,-0.17%
4/19/2024,"2,244.35","2,234.25","2,249.49","2,233.47",,0.48%
4/18/2024,"2,233.67","2,241.96","2,241.96","2,232.88",,-0.28%
4/17/2024,"2,239.86","2,235.17","2,247.78","2,234.41",,0.27%
4/16/2024,"2,233.89","2,188.39","2,240.16","2,188.39",,2.08%
4/15/2024,"2,188.30","2,189.50","2,189.59","2,188.92",,-0.01%
4/12/2024,"2,188.57","2,189.79","2,189.82","2,189.26",,0.00%
4/11/2024,"2,188.60","2,189.77","2,190.20","2,189.32",,-0.04%
4/10/2024,"2,189.51","2,190.76","2,192.23","2,190.16",,-0.02%
4/9/2024,"2,189.96","2,190.53","2,191.82","2,190.19",,-0.03%
4/8/2024,"2,190.54","2,192.01","2,192.16","2,190.27",,0.05%
4/5/2024,"2,189.51","2,199.06","2,200.24","2,190.08",,-0.31%
4/4/2024,"2,196.42","2,203.22","2,203.22","2,196.65",,-0.16%
4/3/2024,"2,199.88","2,197.71","2,203.21","2,197.40",,0.12%
4/2/2024,"2,197.29","2,197.41","2,207.17","2,196.62",,0.02%
4/1/2024,"2,196.79","2,194.48","2,202.23","2,193.72",,0.10%
3/29/2024,"2,194.62","2,194.13","2,196.18","2,193.48",,0.08%
3/28/2024,"2,192.92","2,194.08","2,199.67","2,192.79",,0.00%
3/27/2024,"2,193.01","2,187.38","2,194.78","2,184.80",,0.29%
3/26/2024,"2,186.59","2,191.36","2,191.54","2,186.38",,-0.16%
3/25/2024,"2,190.04","2,189.21","2,194.50","2,189.18",,0.37%
3/22/2024,"2,182.00","2,175.16","2,185.68","2,169.51",,0.35%
3/21/2024,"2,174.43","2,184.09","2,184.25","2,173.69",,-0.35%
3/20/2024,"2,182.10","2,183.02","2,186.69","2,182.00",,0.00%
3/19/2024,"2,182.07","2,179.75","2,185.97","2,179.66",,0.14%
3/18/2024,"2,178.93","2,166.50","2,180.96","2,166.39",,0.58%
3/15/2024,"2,166.30","2,165.27","2,173.56","2,165.17",,0.07%
3/14/2024,"2,164.85","2,166.40","2,167.57","2,164.49",,-0.07%
3/13/2024,"2,166.26","2,170.16","2,170.18","2,164.54",,-0.17%
3/12/2024,"2,170.04","2,171.92","2,173.85","2,170.82",,0.03%
3/11/2024,"2,169.40","2,168.60","2,171.37","2,167.58",,0.03%
3/8/2024,"2,168.65","2,176.65","2,176.70","2,165.88",,-0.32%
3/7/2024,"2,175.70","2,182.09","2,182.09","2,171.98",,-0.21%
3/6/2024,"2,180.29","2,190.75","2,190.82","2,179.39",,-0.47%
3/5/2024,"2,190.50","2,186.63","2,192.09","2,185.91",,0.22%
3/4/2024,"2,185.66","2,181.51","2,186.46","2,181.24",,0.23%
3/1/2024,"2,180.62","2,184.64","2,184.85","2,178.79",,-0.21%
2/29/2024,"2,185.10","2,179.35","2,187.21","2,179.35",,0.31%
2/28/2024,"2,178.26","2,172.82","2,179.70","2,172.63",,0.28%
2/27/2024,"2,172.10","2,171.54","2,175.98","2,171.36",,0.06%
2/26/2024,"2,170.74","2,167.00","2,173.26","2,166.59",,0.20%
2/23/2024,"2,166.30","2,167.02","2,169.77","2,164.59",,0.01%
2/22/2024,"2,166.12","2,174.64","2,178.00","2,166.89",,-0.35%
2/21/2024,"2,173.70","2,175.95","2,181.92","2,174.11",,-0.12%
2/20/2024,"2,176.36","2,171.78","2,177.81","2,171.50",,0.27%
2/19/2024,"2,170.50","2,171.31","2,173.76","2,170.20",,0.00%
2/16/2024,"2,170.47","2,176.24","2,179.37","2,171.38",,0.00%
2/15/2024,"2,170.47","2,166.16","2,174.16","2,161.29",,-0.12%
2/14/2024,"2,173.04","2,179.30","2,186.21","2,163.14",,0.28%
2/13/2024,"2,166.99","2,167.21","2,170.54","2,163.73",,0.00%
2/12/2024,"2,166.99","2,174.16","2,174.16","2,167.83",,-0.26%
2/9/2024,"2,172.55","2,173.23","2,174.06","2,172.31",,0.04%
2/8/2024,"2,171.74","2,174.43","2,174.51","2,172.45",,-0.02%
2/7/2024,"2,172.13","2,188.11","2,190.07","2,171.45",,-0.66%
2/6/2024,"2,186.52","2,182.74","2,189.90","2,182.30",,0.26%
2/5/2024,"2,180.92","2,175.92","2,185.73","2,175.67",,0.21%
2/2/2024,"2,176.42","2,196.44","2,196.54","2,176.77",,-0.84%
2/1/2024,"2,194.83","2,198.13","2,200.65","2,194.27",,-0.27%
1/31/2024,"2,200.69","2,198.17","2,203.57","2,196.88",,0.11%
1/30/2024,"2,198.27","2,202.85","2,203.68","2,197.85",,-0.11%
1/29/2024,"2,200.79","2,203.59","2,204.64","2,201.35",,-0.11%
1/26/2024,"2,203.11","2,205.57","2,208.11","2,202.27",,-0.14%
1/25/2024,"2,206.26","2,196.34","2,210.99","2,192.94",,0.50%
1/24/2024,"2,195.28","2,179.97","2,199.06","2,179.72",,0.80%
1/23/2024,"2,177.82","2,174.13","2,184.97","2,173.48",,0.23%
1/22/2024,"2,172.73","2,170.97","2,173.69","2,169.60",,0.13%
1/19/2024,"2,169.92","2,171.48","2,173.13","2,170.17",,0.01%
1/18/2024,"2,169.80","2,174.99","2,175.03","2,170.27",,-0.13%
1/17/2024,"2,172.58","2,167.35","2,174.60","2,166.74",,0.26%
1/16/2024,"2,166.99","2,166.76","2,172.02","2,165.91",,-0.05%
1/15/2024,"2,168.15","2,165.70","2,170.40","2,165.63",,-0.01%
1/12/2024,"2,168.36","2,169.66","2,174.72","2,168.79",,0.01%
1/11/2024,"2,168.09","2,171.93","2,174.38","2,168.77",,-0.10%
1/10/2024,"2,170.25","2,163.28","2,172.39","2,162.44",,0.28%
1/9/2024,"2,164.18","2,170.52","2,170.52","2,164.97",,-0.23%
1/8/2024,"2,169.11","2,169.75","2,171.36","2,166.87",,-0.11%
1/5/2024,"2,171.42","2,160.47","2,173.30","2,160.10",,0.40%
1/4/2024,"2,162.71","2,163.53","2,173.54","2,162.68",,-0.06%
1/3/2024,"2,163.97","2,164.83","2,171.05","2,162.80",,-0.01%
1/2/2024,"2,164.27","2,165.96","2,173.64","2,162.94",,-0.16%
1/1/2024,"2,167.65","2,167.67","2,167.67","2,167.65",,0.00%
12/29/2023,"2,167.73","2,175.51","2,178.50","2,164.48",,-0.02%
12/28/2023,"2,168.23","2,163.75","2,172.19","2,157.67",,0.38%
12/27/2023,"2,159.94","2,166.72","2,166.72","2,152.92",,-0.33%
12/26/2023,"2,167.00","2,169.56","2,169.56","2,166.31",,-0.09%
12/25/2023,"2,169.04","2,170.25","2,171.30","2,168.79",,-0.03%
12/22/2023,"2,169.59","2,173.44","2,180.43","2,164.77",,-0.19%
12/21/2023,"2,173.64","2,172.56","2,176.32","2,170.50",,0.05%
12/20/2023,"2,172.48","2,176.06","2,176.45","2,171.73",,-0.06%
12/19/2023,"2,173.70","2,173.43","2,174.81","2,168.41",,0.02%
12/18/2023,"2,173.24","2,174.29","2,183.53","2,172.90",,-0.12%
12/15/2023,"2,175.93","2,176.51","2,182.71","2,174.80",,-0.13%
12/14/2023,"2,178.87","2,195.16","2,195.75","2,166.80",,-0.16%
12/13/2023,"2,182.34","2,175.61","2,183.22","2,171.46",,0.31%
12/12/2023,"2,175.49","2,176.56","2,181.32","2,175.66",,0.02%
12/11/2023,"2,175.16","2,161.28","2,176.11","2,159.86",,0.55%
12/8/2023,"2,163.18","2,169.58","2,169.76","2,163.92",,-0.26%
12/7/2023,"2,168.78","2,163.75","2,171.15","2,163.61",,0.25%
12/6/2023,"2,163.38","2,166.60","2,167.82","2,163.54",,-0.23%
12/5/2023,"2,168.44","2,164.08","2,171.71","2,162.68",,0.26%
12/4/2023,"2,162.81","2,172.57","2,172.57","2,160.98",,-0.23%
12/1/2023,"2,167.70","2,173.78","2,178.75","2,166.97",,-0.23%
11/30/2023,"2,172.63","2,157.01","2,175.69","2,156.51",,0.68%
11/29/2023,"2,157.91","2,168.08","2,168.24","2,155.44",,-0.03%
11/28/2023,"2,158.56","2,166.09","2,168.17","2,157.44",,-0.32%
11/27/2023,"2,165.49","2,179.18","2,179.34","2,163.91",,-0.49%
11/24/2023,"2,176.07","2,177.66","2,183.48","2,175.28",,0.04%
11/23/2023,"2,175.28","2,177.65","2,185.73","2,176.36",,0.00%
11/22/2023,"2,175.28","2,163.58","2,183.88","2,161.50",,0.62%
11/21/2023,"2,161.79","2,163.56","2,172.44","2,154.45",,0.40%
11/20/2023,"2,153.27","2,151.90","2,165.73","2,135.62",,0.26%
11/17/2023,"2,147.60","2,146.36","2,150.46","2,137.38",,0.10%
11/16/2023,"2,145.46","2,142.02","2,152.22","2,140.43",,0.12%
11/15/2023,"2,142.96","2,161.47","2,162.56","2,132.39",,-0.92%
11/14/2023,"2,162.80","2,154.70","2,163.79","2,151.22",,0.46%
11/13/2023,"2,152.89","2,151.56","2,155.59","2,151.56",,0.02%
11/10/2023,"2,152.38","2,148.01","2,154.43","2,147.39",,0.18%
11/9/2023,"2,148.54","2,150.33","2,151.61","2,146.71",,-0.01%
11/8/2023,"2,148.80","2,147.79","2,152.00","2,145.50",,0.13%
11/7/2023,"2,146.03","2,135.49","2,147.27","2,130.58",,0.44%
11/6/2023,"2,136.57","2,158.56","2,160.76","2,130.44",,-0.79%
11/3/2023,"2,153.52","2,166.78","2,166.85","2,149.47",,-0.59%
11/2/2023,"2,166.28","2,178.15","2,178.34","2,163.86",,-0.49%
11/1/2023,"2,176.88","2,171.33","2,179.84","2,170.78",,0.31%
10/31/2023,"2,170.23","2,171.86","2,174.33","2,168.52",,-0.08%
10/30/2023,"2,172.01","2,179.16","2,179.29","2,170.25",,-0.26%
10/27/2023,"2,177.60","2,176.46","2,180.25","2,174.88",,0.11%
10/26/2023,"2,175.22","2,168.94","2,178.57","2,168.88",,0.34%
10/25/2023,"2,167.94","2,169.20","2,171.98","2,168.51",,0.03%
10/24/2023,"2,167.28","2,181.02","2,181.13","2,166.17",,-0.47%
10/23/2023,"2,177.42","2,170.63","2,182.16","2,169.92",,0.39%
10/20/2023,"2,168.86","2,162.97","2,171.45","2,162.60",,0.34%
10/19/2023,"2,161.49","2,151.39","2,167.28","2,150.88",,0.56%
10/18/2023,"2,149.46","2,149.46","2,155.47","2,148.96",,0.09%
10/17/2023,"2,147.61","2,150.16","2,150.75","2,147.64",,-0.08%
10/16/2023,"2,149.29","2,145.68","2,151.13","2,145.38",,0.16%
10/13/2023,"2,145.89","2,147.48","2,154.52","2,145.91",,-0.08%
10/12/2023,"2,147.57","2,150.18","2,153.75","2,148.50",,-0.07%
10/11/2023,"2,149.02","2,158.23","2,158.23","2,148.60",,-0.31%
10/10/2023,"2,155.74","2,156.48","2,158.28","2,151.70",,0.24%
10/9/2023,"2,150.55","2,137.78","2,154.17","2,137.70",,0.63%
10/6/2023,"2,137.09","2,139.29","2,141.54","2,126.48",,-0.03%
10/5/2023,"2,137.77","2,134.49","2,139.50","2,133.12",,-0.10%
10/4/2023,"2,139.82","2,139.28","2,142.92","2,138.26",,0.32%
10/3/2023,"2,132.98","2,133.81","2,138.26","2,133.81",,0.32%
10/2/2023,"2,126.13","2,121.82","2,128.47","2,121.82",,0.49%
9/29/2023,"2,115.86","2,123.54","2,124.02","2,116.69",,-0.42%
9/28/2023,"2,124.76","2,123.42","2,126.00","2,122.42",,0.13%
9/27/2023,"2,122.00","2,124.18","2,127.70","2,121.13",,0.21%
9/26/2023,"2,117.61","2,107.35","2,121.30","2,107.03",,0.59%
9/25/2023,"2,105.21","2,106.35","2,108.20","2,105.54",,-0.03%
9/22/2023,"2,105.77","2,105.61","2,108.81","2,104.98",,0.14%
9/21/2023,"2,102.89","2,109.94","2,111.18","2,103.47",,-0.31%
9/20/2023,"2,109.40","2,108.61","2,110.87","2,107.01",,0.12%
9/19/2023,"2,106.83","2,107.24","2,110.14","2,106.61",,-0.01%
9/18/2023,"2,107.10","2,108.02","2,110.81","2,106.11",,-0.13%
9/15/2023,"2,109.85","2,109.10","2,122.20","2,108.59",,0.05%
9/14/2023,"2,108.81","2,113.24","2,113.95","2,109.09",,-0.19%
9/13/2023,"2,112.93","2,105.92","2,114.39","2,105.04",,0.48%
9/12/2023,"2,102.82","2,103.00","2,107.30","2,101.40",,0.07%
9/11/2023,"2,101.36","2,092.55","2,110.81","2,092.25",,0.75%
9/8/2023,"2,085.77","2,087.20","2,089.92","2,085.39",,-0.21%
9/7/2023,"2,090.07","2,090.16","2,094.90","2,088.96",,0.04%
9/6/2023,"2,089.25","2,085.16","2,095.32","2,077.99",,0.01%
9/5/2023,"2,088.95","2,094.05","2,094.05","2,088.80",,-0.26%
9/4/2023,"2,094.45","2,098.69","2,100.27","2,095.04",,-0.16%
9/1/2023,"2,097.73","2,102.17","2,102.94","2,098.16",,0.02%
8/31/2023,"2,097.25","2,092.34","2,098.67","2,088.58",,0.31%
8/30/2023,"2,090.85","2,095.60","2,099.95","2,088.44",,-0.20%
8/29/2023,"2,094.95","2,098.11","2,099.84","2,091.70",,-0.07%
8/28/2023,"2,096.45","2,104.25","2,104.25","2,095.77",,-0.03%
8/25/2023,"2,097.11","2,094.51","2,100.83","2,093.10",,0.17%
8/24/2023,"2,093.46","2,101.81","2,101.86","2,092.97",,-0.32%
8/23/2023,"2,100.27","2,101.92","2,104.88","2,096.94",,0.08%
8/22/2023,"2,098.55","2,108.71","2,108.71","2,098.52",,-0.15%
8/21/2023,"2,101.80","2,094.77","2,106.02","2,092.39",,0.18%
8/18/2023,"2,097.95","2,103.34","2,105.84","2,095.03",,0.12%
8/17/2023,"2,095.45","2,090.92","2,099.52","2,088.53",,0.10%
8/16/2023,"2,093.44","2,104.09","2,104.22","2,093.78",,-0.56%
8/15/2023,"2,105.15","2,103.53","2,111.39","2,102.41",,-0.16%
8/14/2023,"2,108.52","2,097.93","2,113.27","2,096.73",,0.36%
8/11/2023,"2,100.86","2,102.51","2,107.47","2,101.44",,-0.08%
8/10/2023,"2,102.64","2,108.37","2,110.89","2,103.60",,-0.18%
8/9/2023,"2,106.39","2,109.66","2,111.20","2,106.74",,-0.05%
8/8/2023,"2,107.52","2,108.04","2,113.46","2,103.42",,-0.12%
8/7/2023,"2,110.03","2,110.06","2,113.87","2,108.38",,-0.22%
8/4/2023,"2,114.77","2,122.79","2,122.79","2,110.93",,-0.15%
8/3/2023,"2,117.89","2,111.89","2,119.12","2,111.20",,0.41%
8/2/2023,"2,109.23","2,108.79","2,115.56","2,107.03",,0.20%
8/1/2023,"2,105.04","2,106.36","2,110.81","2,095.92",,-0.26%
7/31/2023,"2,110.46","2,112.95","2,115.59","2,108.21",,0.00%
7/28/2023,"2,110.49","2,093.82","2,111.35","2,091.52",,0.99%
7/27/2023,"2,089.81","2,104.65","2,106.50","2,090.33",,-0.46%
7/26/2023,"2,099.53","2,095.78","2,102.13","2,090.77",,-0.01%
7/25/2023,"2,099.82","2,100.20","2,102.13","2,094.14",,0.48%
7/24/2023,"2,089.74","2,090.87","2,092.16","2,084.39",,0.03%
7/21/2023,"2,089.16","2,091.39","2,097.97","2,089.38",,0.09%
7/20/2023,"2,087.34","2,089.54","2,091.64","2,084.70",,0.65%
7/19/2023,"2,073.88","2,084.01","2,084.32","2,074.86",,-0.64%
7/18/2023,"2,087.25","2,095.34","2,095.34","2,087.70",,-0.19%
7/17/2023,"2,091.18","2,090.83","2,095.60","2,088.27",,-0.13%
7/14/2023,"2,093.86","2,096.97","2,098.32","2,089.59",,0.07%
7/13/2023,"2,092.42","2,103.49","2,104.45","2,084.52",,-0.52%
7/12/2023,"2,103.39","2,104.72","2,107.55","2,093.83",,0.22%
7/11/2023,"2,098.76","2,104.24","2,106.05","2,098.38",,-0.07%
7/10/2023,"2,100.21","2,096.36","2,103.61","2,094.61",,0.25%
7/7/2023,"2,095.02","2,078.91","2,096.36","2,076.81",,1.00%
7/6/2023,"2,074.20","2,071.30","2,080.32","2,071.21",,0.16%
7/5/2023,"2,070.80","2,078.71","2,078.75","2,070.83",,-0.33%
7/4/2023,"2,077.70","2,075.88","2,079.44","2,075.30",,0.17%
7/3/2023,"2,074.16","2,073.06","2,075.95","2,070.45",,0.36%
6/30/2023,"2,066.65","2,065.39","2,070.01","2,062.54",,0.00%
6/29/2023,"2,066.59","2,073.45","2,074.23","2,066.86",,-0.11%
6/28/2023,"2,068.93","2,074.93","2,076.01","2,066.58",,-0.33%
6/27/2023,"2,075.86","2,078.39","2,082.25","2,076.15",,0.11%
6/26/2023,"2,073.55","2,080.94","2,085.54","2,074.18",,-0.67%
6/23/2023,"2,087.45","2,084.43","2,090.27","2,084.43",,0.37%
6/22/2023,"2,079.79","2,079.90","2,082.33","2,075.36",,-0.03%
6/21/2023,"2,080.49","2,087.03","2,090.50","2,073.05",,-0.35%
6/20/2023,"2,087.89","2,091.11","2,098.53","2,088.18",,-0.24%
6/19/2023,"2,092.99","2,092.46","2,098.25","2,089.85",,-0.07%
6/16/2023,"2,094.56","2,095.85","2,101.75","2,091.84",,-0.14%
6/15/2023,"2,097.58","2,076.82","2,099.01","2,075.58",,0.91%
6/14/2023,"2,078.57","2,074.34","2,084.44","2,073.55",,0.32%
6/13/2023,"2,071.97","2,076.18","2,080.76","2,073.09",,-0.34%
6/12/2023,"2,079.05","2,079.67","2,086.20","2,076.65",,-0.08%
6/9/2023,"2,080.70","2,092.72","2,098.00","2,080.69",,-0.60%
6/8/2023,"2,093.20","2,084.54","2,094.47","2,083.23",,0.33%
6/7/2023,"2,086.28","2,092.11","2,092.33","2,086.72",,0.00%
6/6/2023,"2,086.38","2,092.57","2,093.23","2,085.36",,-0.43%
6/5/2023,"2,095.30","2,110.08","2,113.13","2,089.97",,-0.91%
6/2/2023,"2,114.46","2,110.68","2,124.43","2,110.36",,0.12%
6/1/2023,"2,111.90","2,109.99","2,113.93","2,104.05",,0.24%
5/31/2023,"2,106.88","2,113.32","2,114.27","2,100.00",,-0.41%
5/30/2023,"2,115.58","2,116.46","2,118.70","2,109.25",,0.00%
5/29/2023,"2,115.49","2,117.70","2,120.15","2,114.39",,-0.01%
5/26/2023,"2,115.65","2,111.91","2,123.76","2,111.66",,0.22%
5/25/2023,"2,111.02","2,108.45","2,119.05","2,107.68",,0.09%
5/24/2023,"2,109.03","2,105.48","2,117.22","2,105.39",,0.06%
5/23/2023,"2,107.69","2,115.24","2,115.24","2,106.58",,-0.36%
5/22/2023,"2,115.40","2,126.29","2,127.09","2,116.30",,-0.61%
5/19/2023,"2,128.45","2,106.76","2,131.42","2,105.71",,0.79%
